x	y	z
-1.4	-0.4	-0.3671
-1.4	-0.2	-0.29631
-1.4	0	-0.27772
-1.4	0.2	-0.035264
-1.4	0.4	0.036978
-1.4	0.6	0.063762
-1.4	0.8	0.22935
-1.4	1	0.40952
-1.4	1.2	0.42052
-1.4	1.4	0.51438
-1.4	1.6	0.6672
-1.4	1.8	0.70212
-1.4	2	0.73613
-1.2	-2	-1.3121
-1.2	-1.8	-1.1465
-1.2	-1.6	-1.1299
-1.2	-1.4	-0.91573
-1.2	-1.2	-0.87203
-1.2	-1	-0.77837
-1.2	-0.8	-0.66508
-1.2	-0.6	-0.58782
-1.2	-0.4	-0.51323
-1.2	-0.2	-0.36085
-1.2	0	-0.21933
-1.2	0.2	-0.10257
-1.2	0.4	-0.11945
-1.2	0.6	0.056049
-1.2	0.8	0.064314
-1.2	1	0.28041
-1.2	1.2	0.31643
-1.2	1.4	0.42662
-1.2	1.6	0.60135
-1.2	1.8	0.51175
-1.2	2	0.72133
-1	-2	-1.4222
-1	-1.8	-1.3458
-1	-1.6	-1.136
-1	-1.4	-1.0881
-1	-1.2	-0.98805
-1	-1	-0.86368
-1	-0.8	-0.78965
-1	-0.6	-0.69601
-1	-0.4	-0.52398
-1	-0.2	-0.50861
-1	0	-0.3808
-1	0.2	-0.24321
-1	0.4	-0.20801
-1	0.6	-0.068296
-1	0.8	0.063499
-1	1	0.13984
-1	1.2	0.36116
-1	1.4	0.26681
-1	1.6	0.4833
-1	1.8	0.57101
-1	2	0.59043
-0.8	-2	-1.4512
-0.8	-1.8	-1.3186
-0.8	-1.6	-1.2225
-0.8	-1.4	-1.1257
-0.8	-1.2	-1.0998
-0.8	-1	-0.8367
-0.8	-0.8	-0.84528
-0.8	-0.6	-0.7171
-0.8	-0.4	-0.60748
-0.8	-0.2	-0.47587
-0.8	0	-0.39633
-0.8	0.2	-0.30956
-0.8	0.4	-0.29186
-0.8	0.6	-0.073355
-0.8	0.8	0.057851
-0.8	1	0.0062702
-0.8	1.2	0.10145
-0.8	1.4	0.27443
-0.8	1.6	0.38224
-0.8	1.8	0.436
-0.8	2	0.54993
-0.6	-2	-1.42
-0.6	-1.8	-1.3808
-0.6	-1.6	-1.182
-0.6	-1.4	-1.1156
-0.6	-1.2	-1.0111
-0.6	-1	-0.83881
-0.6	-0.8	-0.85747
-0.6	-0.6	-0.64109
-0.6	-0.4	-0.56586
-0.6	-0.2	-0.52694
-0.6	0	-0.40288
-0.6	0.2	-0.24763
-0.6	0.4	-0.20224
-0.6	0.6	-0.094823
-0.6	0.8	0.0013319
-0.6	1	0.077756
-0.6	1.2	0.24713
-0.6	1.4	0.33031
-0.6	1.6	0.4675
-0.6	1.8	0.46078
-0.6	2	0.60965
-0.4	-2	-1.3039
-0.4	-1.8	-1.2299
-0.4	-1.6	-1.0752
-0.4	-1.4	-1.0094
-0.4	-1.2	-0.99626
-0.4	-1	-0.86321
-0.4	-0.8	-0.77716
-0.4	-0.6	-0.62316
-0.4	-0.4	-0.5662
-0.4	-0.2	-0.54604
-0.4	0	-0.37409
-0.4	0.2	-0.16835
-0.4	0.4	-0.15735
-0.4	0.6	0.094236
-0.4	0.8	-0.022604
-0.4	1	0.13233
-0.4	1.2	0.2865
-0.4	1.4	0.43377
-0.4	1.6	0.43638
-0.4	1.8	0.53432
-0.4	2	0.72091
-0.2	-2	-1.1901
-0.2	-1.8	-1.0547
-0.2	-1.6	-0.93062
-0.2	-1.4	-0.87691
-0.2	-1.2	-0.73827
-0.2	-1	-0.6539
-0.2	-0.8	-0.65814
-0.2	-0.6	-0.51762
-0.2	-0.4	-0.3644
-0.2	-0.2	-0.39004
-0.2	0	-0.23018
-0.2	0.2	-0.21435
-0.2	0.4	-0.025126
-0.2	0.6	0.1021
-0.2	0.8	0.22285
-0.2	1	0.27864
-0.2	1.2	0.25415
-0.2	1.4	0.58539
-0.2	1.6	0.58747
-0.2	1.8	0.77925
-0.2	2	0.74018
0	-2	-0.9548
0	-1.8	-0.87292
0	-1.6	-0.82325
0	-1.4	-0.57848
0	-1.2	-0.49898
0	-1	-0.46014
0	-0.8	-0.39845
0	-0.6	-0.27296
0	-0.4	-0.1658
0	-0.2	-0.1295
0	0	-0.013054
0	0.2	0.17585
0	0.4	0.25036
0	0.6	0.31517
0	0.8	0.35915
0	1	0.47544
0	1.2	0.64337
0	1.4	0.71804
0	1.6	0.79598
0	1.8	0.93747
0	2	0.9104
0.2	-2	-0.74718
0.2	-1.8	-0.71087
0.2	-1.6	-0.62747
0.2	-1.4	-0.47736
0.2	-1.2	-0.37566
0.2	-1	-0.25687
0.2	-0.8	-0.16112
0.2	-0.6	-0.046413
0.2	-0.4	-0.020316
0.2	-0.2	0.056779
0.2	0	0.16247
0.2	0.2	0.27904
0.2	0.4	0.4543
0.2	0.6	0.41471
0.2	0.8	0.57282
0.2	1	0.70591
0.2	1.2	0.83347
0.2	1.4	0.84319
0.2	1.6	0.98694
0.2	1.8	1.0986
0.2	2	1.1953
0.4	-2	-0.64056
0.4	-1.8	-0.56434
0.4	-1.6	-0.49398
0.4	-1.4	-0.37848
0.4	-1.2	-0.25834
0.4	-1	-0.090682
0.4	-0.8	-0.038299
0.4	-0.6	0.044295
0.4	-0.4	0.15557
0.4	-0.2	0.26449
0.4	0	0.42999
0.4	0.2	0.45389
0.4	0.4	0.61639
0.4	0.6	0.65671
0.4	0.8	0.78103
0.4	1	0.8699
0.4	1.2	1.0298
0.4	1.4	0.99395
0.4	1.6	1.095
0.4	1.8	1.2597
0.4	2	1.3863
0.6	-2	-0.57368
0.6	-1.8	-0.49151
0.6	-1.6	-0.30696
0.6	-1.4	-0.31248
0.6	-1.2	-0.14092
0.6	-1	0.015045
0.6	-0.8	0.038409
0.6	-0.6	0.075536
0.6	-0.4	0.3402
0.6	-0.2	0.27658
0.6	0	0.43263
0.6	0.2	0.55963
0.6	0.4	0.68
0.6	0.6	0.71543
0.6	0.8	0.85087
0.6	1	0.83004
0.6	1.2	1.0216
0.6	1.4	1.0806
0.6	1.6	1.1341
0.6	1.8	1.3738
0.6	2	1.4917
0.8	-2	-0.56636
0.8	-1.8	-0.53305
0.8	-1.6	-0.2574
0.8	-1.4	-0.29827
0.8	-1.2	-0.13246
0.8	-1	-0.084964
0.8	-0.8	0.087544
0.8	-0.6	0.13795
0.8	-0.4	0.19801
0.8	-0.2	0.32564
0.8	0	0.41658
0.8	0.2	0.59268
0.8	0.4	0.65723
0.8	0.6	0.74023
0.8	0.8	0.79169
0.8	1	0.87923
0.8	1.2	1.0546
0.8	1.4	1.1953
0.8	1.6	1.1813
0.8	1.8	1.258
0.8	2	1.5079
1	-2	-0.62703
1	-1.8	-0.57222
1	-1.6	-0.49466
1	-1.4	-0.27023
1	-1.2	-0.15571
1	-1	-0.043274
1	-0.8	-0.00056218
1	-0.6	0.072042
1	-0.4	0.27488
1	-0.2	0.33105
1	0	0.28035
1	0.2	0.46716
1	0.4	0.69128
1	0.6	0.63442
1	0.8	0.78088
1	1	0.84926
1	1.2	1.0338
1	1.4	1.0352
1	1.6	1.171
1	1.8	1.2311
1	2	1.3589
1.2	-2	-0.66145
1.2	-1.8	-0.60884
1.2	-1.6	-0.51647
1.2	-1.4	-0.46261
1.2	-1.2	-0.38959
1.2	-1	-0.19759
1.2	-0.8	-0.091797
1.2	-0.6	0.00040039
1.2	-0.4	-0.0095654
1.2	-0.2	0.21834
1.2	0	0.29598
1.2	0.2	0.44629
1.2	0.4	0.4906
1.2	0.6	0.5933
1.2	0.8	0.65406
1.2	1	0.73247
1.2	1.2	0.86955
1.2	1.4	1.0571
1.2	1.6	1.1744
1.2	1.8	1.1176
1.2	2	1.3037
1.4	-2	-0.80394
1.4	-1.8	-0.69727
1.4	-1.6	-0.56216
1.4	-1.4	-0.55325
1.4	-1.2	-0.45303
1.4	-1	-0.28865
1.4	-0.8	-0.18831
1.4	-0.6	-0.11516
1.4	-0.4	-0.013741
1.4	-0.2	0.14214
1.4	0	0.16509
1.4	0.2	0.28818
1.4	0.4	0.4331
1.4	0.6	0.51227
1.4	0.8	0.67465
1.4	1	0.69499
1.4	1.2	0.79572
1.4	1.4	0.8781
1.4	1.6	0.96951
1.4	1.8	1.1438
1.4	2	1.1314
1.6	-2	-0.89139
1.6	-1.8	-0.90629
1.6	-1.6	-0.63731
1.6	-1.4	-0.54617
1.6	-1.2	-0.42917
1.6	-1	-0.42751
1.6	-0.8	-0.2797
1.6	-0.6	-0.17222
1.6	-0.4	-0.16466
1.6	-0.2	-0.065376
1.6	0	0.09067
1.6	0.2	0.29126
1.6	0.4	0.43051
1.6	0.6	0.43203
1.6	0.8	0.43843
1.6	1	0.63751
1.6	1.2	0.74341
1.6	1.4	0.81876
1.6	1.6	0.93251
1.6	1.8	0.93179
1.6	2	1.0486
1.8	-2	-0.88855
1.8	-1.8	-0.84123
1.8	-1.6	-0.81108
1.8	-1.4	-0.6454
1.8	-1.2	-0.56932
1.8	-1	-0.39496
1.8	-0.8	-0.33161
1.8	-0.6	-0.2133
1.8	-0.4	-0.10418
1.8	-0.2	-0.080934
1.8	0	0.075466
1.8	0.2	0.16468
1.8	0.4	0.30496
1.8	0.6	0.46466
1.8	0.8	0.48677
1.8	1	0.56573
1.8	1.2	0.67205
1.8	1.4	0.73981
1.8	1.6	0.78393
1.8	1.8	0.99443
1.8	2	1.0481
2	-2	-0.94403
2	-1.8	-0.86072
2	-1.6	-0.78767
2	-1.4	-0.65115
2	-1.2	-0.52745
2	-1	-0.45569
2	-0.8	-0.35668
2	-0.6	-0.31368
2	-0.4	-0.098045
2	-0.2	-0.0034119
2	0	-0.092236
2	0.2	0.032318
2	0.4	0.25594
2	0.6	0.29358
2	0.8	0.37509
2	1	0.66871
2	1.2	0.59141
2	1.4	0.67546
2	1.6	0.85179
2	1.8	0.90013
2	2	0.97945
